Dam_ID,metric,sen_slope,mk_tau,mean_value,pct_sen_slope,inde_p,inde_dep,inde_h,inde_trend,ar1_p,ar1_dep,ar1_h,ar1_trend,ltp_p,ltp_dep,ltp_h,ltp_trend
606,total_duration_below_threshold,0,0.086,73.1,0,0.383608620678365,0,FALSE,0,0.615607100149978,0.543,FALSE,0,0.803479315327629,0.797,FALSE,0
610,total_duration_below_threshold,0,0.397,73.05,0,1.94271451438e-6,0,TRUE,0,0.0395717375406004,0.744,TRUE,0,0.303330359587342,0.847,FALSE,0
613,total_duration_below_threshold,0,0.058,73.22,0,0.567839738048262,0,FALSE,0,0.793651609770582,0.709,FALSE,0,0.870671307524726,0.805,FALSE,0
616,total_duration_below_threshold,-137.75,-0.505,73.08,-188.5,4.62913065901e-6,0,TRUE,-3.444,0.0232937750022868,0.658,TRUE,-3.444,0.0832441949949806,0.734,FALSE,-3.444
629,total_duration_below_threshold,-74.29,-0.378,73.35,-101.3,6.1126244517291e-4,0,TRUE,-1.857,0.00829921583813054,0.276,TRUE,-1.857,0.0165544547207005,0.5,TRUE,-1.857
657,total_duration_below_threshold,0,0.387,73.08,0,2.341906718517e-5,0,TRUE,0,0.0118465188827597,0.517,TRUE,0,0.244556910332963,0.787,FALSE,0
664,total_duration_below_threshold,145.73,0.388,73.15,199.2,2.9416903819517e-4,0,TRUE,3.643,0.022461579779073,0.467,TRUE,3.643,0.0887732316206595,0.637,FALSE,3.643
753,total_duration_below_threshold,0,0.01,73.05,0,0.919488207138499,0,FALSE,0,0.962536535862214,0.7,FALSE,0,0.977953595473051,0.778,FALSE,0
767,total_duration_below_threshold,-96.93,-0.344,74.12,-130.8,0.00177719649174495,0,TRUE,-2.423,0.0207289490777537,0.316,TRUE,-2.423,0.165371737891335,0.669,FALSE,-2.423
768,total_duration_below_threshold,-1.48,-0.013,73.65,-2,0.916453540187032,0,FALSE,-0.037,0.94119603266933,0.366,FALSE,-0.037,0.96483494639239,0.692,FALSE,-0.037
777,total_duration_below_threshold,-13.33,-0.138,76.95,-17.3,0.205788323460885,0,FALSE,-0.333,0.319872506243001,0.255,FALSE,-0.333,0.383109415821218,0.5,FALSE,-0.333
780,total_duration_below_threshold,0,0.053,73.2,0,0.636075255665331,0,FALSE,0,0.837772635875615,0.744,FALSE,0,0.866016217292837,0.752,FALSE,0
784,total_duration_below_threshold,0,-0.042,73.17,0,0.677816682850452,0,FALSE,0,0.7896991199465,0.451,FALSE,0,0.864300619734627,0.658,FALSE,0
789,total_duration_below_threshold,-45.8,-0.179,75.97,-60.3,0.105230771165387,0,FALSE,-1.145,0.229584512388446,0.314,FALSE,-1.145,0.403525588902389,0.612,FALSE,-1.145
792,total_duration_below_threshold,-65.23,-0.274,75.62,-86.3,0.0130356428960567,0,TRUE,-1.631,0.107643572486886,0.442,FALSE,-1.631,0.314378246569717,0.706,FALSE,-1.631
798,total_duration_below_threshold,0,-0.019,73.08,0,0.853400087970973,0,FALSE,0,0.916556345592409,0.556,FALSE,0,0.944105780144121,0.683,FALSE,0
806,total_duration_below_threshold,-40,-0.154,75.97,-52.6,0.165430149936327,0,FALSE,-1,0.200338070942432,0.086,FALSE,-1,0.332047514633621,0.5,FALSE,-1
827,total_duration_below_threshold,0,0.281,73.08,0,0.00464475057469599,0,TRUE,0,0.0552654250395052,0.402,FALSE,0,0.344492321042322,0.741,FALSE,0
837,total_duration_below_threshold,0,0.215,73.25,0,0.0247398665562699,0,TRUE,0,0.162344201204844,0.478,FALSE,0,0.438481224803808,0.714,FALSE,0
858,total_duration_below_threshold,-34.58,-0.162,74.12,-46.6,0.14492349952548,0,FALSE,-0.864,0.281718916300109,0.318,FALSE,-0.864,0.458792058574162,0.618,FALSE,-0.864
861,total_duration_below_threshold,-147.18,-0.567,74.05,-198.8,2.7410641149e-7,0,TRUE,-3.679,1.5906310981244e-4,0.323,TRUE,-3.679,3.2457850563595e-4,0.5,TRUE,-3.679
870,total_duration_below_threshold,0,0.004,73.05,0,0.976958254621011,0,FALSE,0,0.990639468607253,0.779,FALSE,0,0.994267270863123,0.817,FALSE,0
872,total_duration_below_threshold,0,-0.264,73.08,0,0.00396002545250205,0,TRUE,0,0.139576838937665,0.633,FALSE,0,0.367073215217583,0.735,FALSE,0
882,total_duration_below_threshold,0,-0.117,73.05,0,0.205656778638895,0,FALSE,0,0.507279759740192,0.617,FALSE,0,0.699960028936522,0.746,FALSE,0
884,total_duration_below_threshold,148.93,0.462,74.35,200.3,2.028351701005e-5,0,TRUE,3.723,0.17748542504185,0.894,FALSE,3.723,0.249688888950933,0.863,FALSE,3.723
885,total_duration_below_threshold,0,-0.145,73.2,0,0.170184446479125,0,FALSE,0,0.484220354203169,0.637,FALSE,0,0.638156215547039,0.754,FALSE,0
893,total_duration_below_threshold,0,-0.035,73.05,0,0.714650579911488,0,FALSE,0,0.857524413311639,0.663,FALSE,0,0.917699857430288,0.776,FALSE,0
895,total_duration_below_threshold,130.64,0.644,75,174.2,5.11098754e-9,0,TRUE,3.266,0.0523240581757489,0.875,FALSE,3.266,0.156832294421245,0.913,FALSE,3.266
898,total_duration_below_threshold,0,-0.017,73.05,0,0.887170675227208,0,FALSE,0,0.907580571098108,0.214,FALSE,0,0.948651594346402,0.656,FALSE,0
913,total_duration_below_threshold,0,0.172,73.15,0,0.04051116539119,0,TRUE,0,0.426257419553356,0.803,FALSE,0,0.604545315919482,0.784,FALSE,0
919,total_duration_below_threshold,0,0.038,73.25,0,0.710393808824728,0,FALSE,0,0.875118401710704,0.757,FALSE,0,0.917719579609403,0.82,FALSE,0
920,total_duration_below_threshold,-120,-0.462,79.67,-150.6,2.873213641684e-5,0,TRUE,-3,0.0591197562502013,0.719,FALSE,-3,0.221498958806721,0.838,FALSE,-3
924,total_duration_below_threshold,-31.44,-0.397,73.05,-43,1.5404165574126e-4,0,TRUE,-0.786,0.00361488322769032,0.278,TRUE,-0.786,0.011779466558683,0.5,TRUE,-0.786
929,total_duration_below_threshold,60,0.223,78.1,76.8,0.0437815300076686,0,TRUE,1.5,0.221021109057749,0.5,FALSE,1.5,0.462067760056005,0.749,FALSE,1.5
931,total_duration_below_threshold,0,0.101,67.63,0,0.355225881287279,0,FALSE,0,0.705801848010984,0.777,FALSE,0,0.735764787230732,0.727,FALSE,0
936,total_duration_below_threshold,0,0.314,72.67,0,0.00159176010985116,0,TRUE,0,0.204615991311617,0.785,FALSE,0,0.444469888614725,0.868,FALSE,0
938,total_duration_below_threshold,0,0.043,72.64,0,0.696972001405279,0,FALSE,0,0.791338333002519,0.399,FALSE,0,0.862021406483075,0.652,FALSE,0
939,total_duration_below_threshold,1.74,0.432,72.67,2.4,6.31503326104e-6,0,TRUE,0.043,0.083065820205854,0.809,FALSE,0.043,0.21053783684132,0.796,FALSE,0.043
948,total_duration_below_threshold,0,0.146,73.05,0,0.0926623760476234,0,FALSE,0,0.414062379797515,0.671,FALSE,0,0.625379937590302,0.742,FALSE,0
953,total_duration_below_threshold,0,-0.383,73.08,0,4.54822869632e-6,0,TRUE,0,0.0489501398339672,0.748,TRUE,0,0.256953338764617,0.793,FALSE,0
957,total_duration_below_threshold,0,0.055,73.42,0,0.618093874807765,0,FALSE,0,0.707858221438294,0.301,FALSE,0,0.854685231186217,0.738,FALSE,0
958,total_duration_below_threshold,0,0.398,72.59,0,3.11415704134e-6,0,TRUE,0,0.143531738481042,0.898,FALSE,0,0.227166477686343,0.777,FALSE,0
965,total_duration_below_threshold,102.07,0.473,73.05,139.7,1.023138233345e-5,0,TRUE,2.552,0.0019988482402276,0.37,TRUE,2.552,0.0221330118003066,0.599,TRUE,2.552
967,total_duration_below_threshold,60.48,0.342,73.17,82.6,0.0018452152332377,0,TRUE,1.512,0.00984394102503189,0.201,TRUE,1.512,0.030145662779052,0.5,TRUE,1.512
968,total_duration_below_threshold,0,0.026,73.05,0,0.820753348893162,0,FALSE,0,0.84919552843397,0.188,FALSE,0,0.899772641463951,0.575,FALSE,0
972,total_duration_below_threshold,0,0.255,73.08,0,0.00896609207614292,0,TRUE,0,0.208846835393315,0.678,FALSE,0,0.455379517287061,0.797,FALSE,0
975,total_duration_below_threshold,0,0.175,67.34,0,0.107263311196954,0,FALSE,0,0.267697809541518,0.387,FALSE,0,0.492412087134201,0.665,FALSE,0
980,total_duration_below_threshold,20,0.167,73.08,27.4,0.123967281852,0,FALSE,0.5,0.438000358746833,0.645,FALSE,0.5,0.638098827485032,0.811,FALSE,0.5
981,total_duration_below_threshold,0,0.029,73.12,0,0.793979038118786,0,FALSE,0,0.827757694251361,0.195,FALSE,0,0.881924797104978,0.569,FALSE,0
982,total_duration_below_threshold,0,-0.091,73.1,0,0.406017284165691,0,FALSE,0,0.538489126417871,0.316,FALSE,0,0.748128571245566,0.718,FALSE,0
987,total_duration_below_threshold,0,-0.128,73.05,0,0.164082681967185,0,FALSE,0,0.524937309339743,0.711,FALSE,0,0.713746350100545,0.804,FALSE,0
989,total_duration_below_threshold,46.67,0.166,67.5,69.1,0.144619567356021,0,FALSE,1.167,0.197508571579266,0.133,FALSE,1.167,0.351295059910382,0.528,FALSE,1.167
1000,total_duration_below_threshold,-9.19,-0.051,73.15,-12.6,0.649370212283383,0,FALSE,-0.23,0.609324132263315,-0.126,FALSE,-0.23,0.750553568966105,0.5,FALSE,-0.23
1006,total_duration_below_threshold,-22,-0.122,73.05,-30.1,0.267936853186467,0,FALSE,-0.55,0.277197993861757,0.021,FALSE,-0.55,0.443558055112599,0.5,FALSE,-0.55
